Local Date,State,Outage_status
12/27/2010,ME,1
12/26/2010,ME,1
12/26/2010,ME,1
12/26/2010,ME,1
12/25/2010,ME,1
12/02/2010,ME,1
11/19/2010,ME,1
10/31/2010,ME,1
09/15/2010,ME,0
12/02/2010,ME,1
11/19/2010,ME,1
11/19/2010,ME,1
11/19/2010,ME,1
12/26/2011,ME,1
12/26/2011,ME,1
12/26/2011,ME,0
12/26/2011,ME,0
12/26/2011,ME,0
12/26/2011,ME,0
12/26/2011,ME,0
12/26/2011,ME,0
12/13/2011,ME,1
12/13/2011,ME,1
12/11/2011,ME,0
12/03/2011,ME,1
12/01/2011,ME,1
11/25/2011,ME,0
11/23/2011,ME,1
11/22/2011,ME,1
11/08/2011,ME,1
11/03/2011,ME,1
10/30/2011,ME,0
10/30/2011,ME,0
10/21/2011,ME,1
10/17/2011,ME,0
10/16/2011,ME,0
09/27/2011,ME,1
09/22/2011,ME,1
09/22/2011,ME,1
09/20/2011,ME,0
09/17/2011,ME,1
09/15/2011,ME,1
09/12/2011,ME,0
09/11/2011,ME,1
09/11/2011,ME,1
09/11/2011,ME,1
09/10/2011,ME,1
09/07/2011,ME,1
09/05/2011,ME,1
09/04/2011,ME,1
08/29/2011,ME,1
08/29/2011,ME,1
08/28/2011,ME,0
08/27/2011,ME,0
08/22/2011,ME,0
08/19/2011,ME,0
08/14/2011,ME,1
08/09/2011,ME,0
07/31/2011,ME,1
07/26/2011,ME,0
07/22/2011,ME,1
07/22/2011,ME,1
07/21/2011,ME,1
07/21/2011,ME,0
07/21/2011,ME,0
07/21/2011,ME,0
07/21/2011,ME,0
07/21/2011,ME,0
07/21/2011,ME,0
07/20/2011,ME,0
07/19/2011,ME,1
07/19/2011,ME,0
07/18/2011,ME,0
07/18/2011,ME,0
07/18/2011,ME,0
07/18/2011,ME,0
07/17/2011,ME,0
07/13/2011,ME,1
07/13/2011,ME,1
07/06/2011,ME,1
06/29/2011,ME,0
06/29/2011,ME,0
06/29/2011,ME,0
06/29/2011,ME,0
06/29/2011,ME,0
06/29/2011,ME,0
06/23/2011,ME,1
06/23/2011,ME,1
06/23/2011,ME,1
06/23/2011,ME,1
06/23/2011,ME,1
06/23/2011,ME,1
06/23/2011,ME,1
06/22/2011,ME,1
06/02/2011,ME,0
06/02/2011,ME,0
06/02/2011,ME,0
06/02/2011,ME,0
06/02/2011,ME,0
06/02/2011,ME,0
05/30/2011,ME,0
05/30/2011,ME,0
05/30/2011,ME,0
05/30/2011,ME,0
05/30/2011,ME,0
05/30/2011,ME,0
05/29/2011,ME,1
05/29/2011,ME,1
05/29/2011,ME,1
05/29/2011,ME,1
05/29/2011,ME,1
05/29/2011,ME,1
05/28/2011,ME,0
05/28/2011,ME,0
05/28/2011,ME,1
05/28/2011,ME,1
05/28/2011,ME,1
05/28/2011,ME,1
05/28/2011,ME,1
05/28/2011,ME,1
05/27/2011,ME,0
05/27/2011,ME,1
05/27/2011,ME,1
05/27/2011,ME,1
05/27/2011,ME,1
05/27/2011,ME,1
05/27/2011,ME,1
05/26/2011,ME,0
05/26/2011,ME,0
05/26/2011,ME,0
05/26/2011,ME,0
05/26/2011,ME,0
05/26/2011,ME,0
05/16/2011,ME,1
05/11/2011,ME,1
05/11/2011,ME,1
05/11/2011,ME,1
05/11/2011,ME,1
05/11/2011,ME,1
05/11/2011,ME,1
05/09/2011,ME,1
05/09/2011,ME,1
05/06/2011,ME,0
04/28/2011,ME,1
04/28/2011,ME,0
04/27/2011,ME,0
04/26/2011,ME,1
04/23/2011,ME,0
04/23/2011,ME,0
04/23/2011,ME,0
