Local Date,State,Outage_status
10/31/2010,NH,1
10/27/2010,NH,1
10/26/2010,NH,1
10/30/2010,NH,1
10/28/2010,NH,1
10/27/2010,NH,1
12/05/2011,NH,0
11/25/2011,NH,0
10/31/2011,NH,0
10/24/2011,NH,0
10/18/2011,NH,1
10/04/2011,NH,0
09/19/2011,NH,0
08/24/2011,NH,0
06/04/2011,NH,0
06/04/2011,NH,1
05/29/2011,NH,1
05/28/2011,NH,1
05/13/2011,NH,0
05/11/2011,NH,0
04/21/2011,NH,0
04/21/2011,NH,0
03/21/2011,NH,1
02/23/2011,NH,1
02/20/2011,NH,1
02/07/2011,NH,0
02/01/2011,NH,0
01/27/2011,NH,0
01/16/2011,NH,1
01/07/2011,NH,1
12/29/2012,NH,1
12/29/2012,NH,1
12/29/2012,NH,1
12/28/2012,NH,1
12/27/2012,NH,1
12/26/2012,NH,1
12/26/2012,NH,1
12/26/2012,NH,1
12/26/2012,NH,1
12/26/2012,NH,0
12/26/2012,NH,1
12/26/2012,NH,1
12/26/2012,NH,1
12/26/2012,NH,0
12/25/2012,NH,1
12/25/2012,NH,1
12/24/2012,NH,1
12/23/2012,NH,1
12/22/2012,NH,1
12/21/2012,NH,0
12/21/2012,NH,0
12/21/2012,NH,0
12/21/2012,NH,0
12/21/2012,NH,0
12/21/2012,NH,0
12/21/2012,NH,1
12/21/2012,NH,0
12/21/2012,NH,1
12/20/2012,NH,0
12/20/2012,NH,0
12/20/2012,NH,1
12/20/2012,NH,0
12/20/2012,NH,0
12/20/2012,NH,0
12/18/2012,NH,1
12/17/2012,NH,1
12/17/2012,NH,1
12/16/2012,NH,1
12/16/2012,NH,1
12/16/2012,NH,1
12/16/2012,NH,1
12/16/2012,NH,0
12/15/2012,NH,1
12/15/2012,NH,1
12/15/2012,NH,1
12/06/2012,NH,1
11/30/2012,NH,1
11/28/2012,NH,0
11/27/2012,NH,1
11/27/2012,NH,1
11/27/2012,NH,1
11/26/2012,NH,1
11/23/2012,NH,1
11/23/2012,NH,1
11/23/2012,NH,1
11/22/2012,NH,1
11/21/2012,NH,1
11/19/2012,NH,1
11/19/2012,NH,1
11/18/2012,NH,0
11/15/2012,NH,1
11/14/2012,NH,1
11/14/2012,NH,1
11/11/2012,NH,0
11/09/2012,NH,1
11/07/2012,NH,1
11/07/2012,NH,1
11/04/2012,NH,1
11/03/2012,NH,0
11/02/2012,NH,1
11/01/2012,NH,0
10/31/2012,NH,1
10/31/2012,NH,1
10/30/2012,NH,1
10/30/2012,NH,0
10/29/2012,NH,1
10/29/2012,NH,1
10/29/2012,NH,1
10/29/2012,NH,1
10/26/2012,NH,1
10/26/2012,NH,1
10/24/2012,NH,0
10/23/2012,NH,1
10/23/2012,NH,1
10/22/2012,NH,1
10/20/2012,NH,1
10/19/2012,NH,1
10/17/2012,NH,1
10/14/2012,NH,1
10/10/2012,NH,0
10/03/2012,NH,1
10/02/2012,NH,1
09/29/2012,NH,1
09/27/2012,NH,0
09/24/2012,NH,0
09/22/2012,NH,1
09/21/2012,NH,1
09/19/2012,NH,1
09/19/2012,NH,1
09/17/2012,NH,1
09/16/2012,NH,1
09/14/2012,NH,1
09/07/2012,NH,0
09/05/2012,NH,0
09/02/2012,NH,0
08/28/2012,NH,0
08/27/2012,NH,0
08/27/2012,NH,1
08/21/2012,NH,0
08/19/2012,NH,0
08/19/2012,NH,0
08/15/2012,NH,0
08/15/2012,NH,0
08/15/2012,NH,0
08/15/2012,NH,1
08/13/2012,NH,1
08/10/2012,NH,1
08/09/2012,NH,1
08/09/2012,NH,0
08/08/2012,NH,0
08/07/2012,NH,1
08/05/2012,NH,1
08/04/2012,NH,1
08/04/2012,NH,0
08/04/2012,NH,1
08/04/2012,NH,1
08/04/2012,NH,1
08/04/2012,NH,1
08/04/2012,NH,1
08/04/2012,NH,1
08/04/2012,NH,1
07/30/2012,NH,0
07/29/2012,NH,0
07/26/2012,NH,1
07/26/2012,NH,0
07/26/2012,NH,1
07/25/2012,NH,1
07/25/2012,NH,0
07/24/2012,NH,0
07/24/2012,NH,1
07/19/2012,NH,1
07/18/2012,NH,1
07/17/2012,NH,1
07/06/2012,NH,0
07/06/2012,NH,1
07/06/2012,NH,0
07/05/2012,NH,1
07/05/2012,NH,1
07/05/2012,NH,1
07/05/2012,NH,0
07/05/2012,NH,1
07/04/2012,NH,0
07/03/2012,NH,1
07/03/2012,NH,0
07/02/2012,NH,0
07/02/2012,NH,0
07/02/2012,NH,0
07/01/2012,NH,1
07/01/2012,NH,0
07/01/2012,NH,0
07/01/2012,NH,0
07/01/2012,NH,1
07/01/2012,NH,0
06/30/2012,NH,1
06/30/2012,NH,0
06/30/2012,NH,0
06/30/2012,NH,0
06/30/2012,NH,0
06/30/2012,NH,1
06/30/2012,NH,0
06/30/2012,NH,0
06/30/2012,NH,0
06/30/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,0
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,1
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,0
06/29/2012,NH,1
06/29/2012,NH,1
06/29/2012,NH,1
06/29/2012,NH,1
06/26/2012,NH,0
06/18/2012,NH,1
06/17/2012,NH,1
06/17/2012,NH,1
06/12/2012,NH,1
06/12/2012,NH,0
06/07/2012,NH,1
06/06/2012,NH,1
06/06/2012,NH,1
06/01/2012,NH,0
06/01/2012,NH,1
05/31/2012,NH,1
04/30/2012,NH,0
04/30/2012,NH,1
04/29/2012,NH,1
04/29/2012,NH,0
04/25/2012,NH,1
04/24/2012,NH,0
04/05/2012,NH,1
04/04/2012,NH,1
04/02/2012,NH,0
03/31/2012,NH,1
03/27/2012,NH,0
03/24/2012,NH,1
02/27/2012,NH,1
02/25/2012,NH,0
02/20/2012,NH,1
02/18/2012,NH,0
01/22/2012,NH,0
01/17/2012,NH,1
01/02/2012,NH,0
