Local Date,State,Outage_status
09/17/2010,NY,1
12/30/2010,NY,1
12/29/2010,NY,1
12/28/2010,NY,1
12/26/2010,NY,1
12/26/2010,NY,1
12/26/2010,NY,1
12/22/2010,NY,0
12/21/2010,NY,1
12/21/2010,NY,1
12/20/2010,NY,1
12/18/2010,NY,1
12/16/2010,NY,0
12/01/2010,NY,1
11/29/2010,NY,1
10/28/2010,NY,0
09/22/2010,NY,1
09/16/2010,NY,0
12/30/2010,NY,1
12/29/2010,NY,1
12/28/2010,NY,1
12/27/2010,NY,1
12/26/2010,NY,1
11/21/2010,NY,1
11/08/2010,NY,1
09/22/2010,NY,1
09/22/2010,NY,0
09/22/2010,NY,1
09/20/2010,NY,1
09/20/2010,NY,1
09/18/2010,NY,0
09/17/2010,NY,0
09/17/2010,NY,0
09/16/2010,NY,0
09/16/2010,NY,1
09/16/2010,NY,1
09/16/2010,NY,1
09/16/2010,NY,1
09/16/2010,NY,0
09/16/2010,NY,1
09/16/2010,NY,1
09/16/2010,NY,1
09/16/2010,NY,0
09/16/2010,NY,1
09/16/2010,NY,0
09/16/2010,NY,1
09/13/2010,NY,1
09/13/2010,NY,1
09/13/2010,NY,1
09/11/2010,NY,1
09/11/2010,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,0
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,0
03/30/2011,NY,1
03/30/2011,NY,0
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,0
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,1
03/30/2011,NY,0
03/30/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,0
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,0
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,0
03/29/2011,NY,0
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,0
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,0
03/29/2011,NY,1
03/29/2011,NY,1
03/29/2011,NY,1
03/28/2011,NY,1
03/28/2011,NY,0
03/28/2011,NY,1
03/28/2011,NY,0
03/28/2011,NY,0
03/28/2011,NY,1
