Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State,Outage_status
ErikMoses_,1.11E+16,@MorganhooverX lol yeah in winter storm 5 lol but i think i got some,12/4/2010 10:41,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
MEGScolli,1.52E+17,"Ford makes it, power stroke shakes it. Shake shake ;)",12/28/2011 3:44,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
NICK_E_STEEZ,1.50E+17,Do you idiots not understand that every time the gov't shuts down a coal power plant your energy bills go up?,12/21/2011 15:55,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
MrObveeus,1.48E+17,@dwfaust A couple of years ago I warned by daughter of an impending power outage in the game room. She thought it was a bluff. Shoulda saved,12/17/2011 9:31,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
LinkedIn,1.08E+18,"Aaron wanted a job that would let him pursue his passion for helping others. With the help of a hiring manager who found his profile on LinkedIn, Aaron found that opportunity. Find your next job on LinkedIn: https://lnkd.in/g_8wpjd  #InItTogetherpic.twitter.com/hpEoZWjcR0",1/6/2019 20:32,"Like
    
      
    445
  
  
    
      
      
      Liked
    
      
    445","Retweet
    
      
    67
  
  
    
      
      Retweeted
    
      
    67",VT,1
ldavidptl,1.47E+17,"'...Blessing and honor and glory and power  Be  to Him who sits on the throne, And to the Lamb, forever and ever!'Rev.5:13 JESUS lives!",12/15/2011 6:37,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,1
ldavidptl,1.47E+17,"'...Worthy is the Lamb who was slain To receive power and riches and wisdom, And strength and honor and glory and blessing!' Rev.5:12",12/15/2011 6:32,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,1
ldavidptl,1.47E+17,"You are worthy, O Lord, To receive glory and honor and power; For You created all things, And by Your will they exist and were createdRev411",12/13/2011 6:44,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,1
ldavidptl,1.45E+17,"'For God has not given us a spirit of fear, but of power and of love and of a sound mind.' 2 Timothy 1:7 power / love / sound mind - TGBTG",12/9/2011 4:21,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,1
ldavidptl,1.44E+17,Breaking News - Jesus breaks the power of cancelled sin! Confess - Repent - Restore - Forgive - Love and live free from Satan's captivity.,12/7/2011 5:23,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,1
ldavidptl,1.42E+17,Pray for one another. Be strong in the LORD and the power of His might. Put your trust in Jesus Christ. Pray continuously and with gratitude,12/1/2011 18:00,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,1
ldavidptl,1.42E+17,"@DukeEnergy need power at 11525 E 100 S in Greentown, IN 46936.",11/30/2011 17:14,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
MrPowersBelt,1.42E+17,How many Hicks does it take to fix a power outage?? Apparently not enough!,11/29/2011 22:35,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
Kyle_Mundell,1.42E+17,"Well, the power is back on... What to do now. How about eat a bunch of food.",11/29/2011 22:34,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
_madychristiane,1.42E+17,I wonder if 'I didn't have power' is a good excuse for not doing my homework. I mean .. My power hasn't gone out but still -.-,11/29/2011 22:16,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
AdamG_27,1.42E+17,@mandala22 no we got power but it was dimming in and out all night,11/29/2011 21:56,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
Zthieke,1.42E+17,Without power! #dangweather lol,11/29/2011 21:38,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
TheQueenBMILLER,1.42E+17,The power may be out but I got Netflix on my phone #winnjng,11/29/2011 20:47,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
Southern_Cowgrl,1.42E+17,@DrDirty_bitch1 I came home to no power and I don't even have my truck=(,11/29/2011 18:19,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
Southern_Cowgrl,1.42E+17,@DrDirty_bitch1 this sucks lol I want my power back too!!,11/29/2011 18:17,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
Kyle_Mundell,1.42E+17,"Well, power's out. I guess I'll throw my makeshift head lamp on.",11/29/2011 17:37,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT,0
