Local Date,State,Outage_status
12/4/2010,VT,0
12/28/2011,VT,0
12/21/2011,VT,0
12/17/2011,VT,0
12/15/2011,VT,1
12/15/2011,VT,1
12/13/2011,VT,1
12/9/2011,VT,1
12/7/2011,VT,1
12/1/2011,VT,1
11/30/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/29/2011,VT,0
11/17/2011,VT,1
11/16/2011,VT,1
11/15/2011,VT,1
11/14/2011,VT,1
11/14/2011,VT,1
11/14/2011,VT,0
11/13/2011,VT,0
11/13/2011,VT,0
11/10/2011,VT,1
11/10/2011,VT,0
10/28/2011,VT,1
10/26/2011,VT,1
10/19/2011,VT,0
10/19/2011,VT,0
10/19/2011,VT,0
10/15/2011,VT,0
10/11/2011,VT,0
10/10/2011,VT,1
10/3/2011,VT,1
9/28/2011,VT,0
9/28/2011,VT,1
9/18/2011,VT,1
9/4/2011,VT,1
9/4/2011,VT,1
9/3/2011,VT,1
9/2/2011,VT,1
9/2/2011,VT,1
9/1/2011,VT,1
9/1/2011,VT,0
8/31/2011,VT,1
8/31/2011,VT,0
8/31/2011,VT,1
8/29/2011,VT,1
8/25/2011,VT,1
8/24/2011,VT,0
8/20/2011,VT,1
8/20/2011,VT,1
8/20/2011,VT,1
8/20/2011,VT,1
8/13/2011,VT,0
8/13/2011,VT,1
8/8/2011,VT,1
8/7/2011,VT,0
8/7/2011,VT,0
8/3/2011,VT,1
8/1/2011,VT,1
8/1/2011,VT,0
8/1/2011,VT,1
8/1/2011,VT,1
8/1/2011,VT,1
7/27/2011,VT,1
7/24/2011,VT,1
7/17/2011,VT,1
7/13/2011,VT,1
7/12/2011,VT,1
7/11/2011,VT,0
7/5/2011,VT,0
7/4/2011,VT,1
7/4/2011,VT,1
7/2/2011,VT,0
7/2/2011,VT,0
7/2/2011,VT,1
6/30/2011,VT,1
6/30/2011,VT,1
6/27/2011,VT,1
6/21/2011,VT,1
6/20/2011,VT,1
6/18/2011,VT,1
6/14/2011,VT,1
6/12/2011,VT,1
6/12/2011,VT,1
6/11/2011,VT,1
6/5/2011,VT,0
6/4/2011,VT,1
6/4/2011,VT,0
6/3/2011,VT,1
6/2/2011,VT,1
5/29/2011,VT,1
5/28/2011,VT,0
5/25/2011,VT,1
5/25/2011,VT,0
5/25/2011,VT,0
5/25/2011,VT,1
5/25/2011,VT,1
5/22/2011,VT,1
5/21/2011,VT,0
4/28/2011,VT,1
4/27/2011,VT,0
4/26/2011,VT,1
4/19/2011,VT,0
4/19/2011,VT,1
4/15/2011,VT,0
3/26/2011,VT,1
3/18/2011,VT,0
3/4/2011,VT,0
3/4/2011,VT,0
2/24/2011,VT,1
2/23/2011,VT,1
2/21/2011,VT,1
2/2/2011,VT,0
2/2/2011,VT,0
2/1/2011,VT,0
2/1/2011,VT,1
1/27/2011,VT,0
1/22/2011,VT,1
1/22/2011,VT,1
12/30/2012,VT,1
12/29/2012,VT,0
12/28/2012,VT,1
12/28/2012,VT,1
12/27/2012,VT,1
12/26/2012,VT,1
12/25/2012,VT,1
12/25/2012,VT,1
12/25/2012,VT,1
12/25/2012,VT,1
12/25/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/24/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/23/2012,VT,1
12/21/2012,VT,1
12/21/2012,VT,1
12/21/2012,VT,1
12/21/2012,VT,1
12/21/2012,VT,1
12/20/2012,VT,0
12/20/2012,VT,0
12/20/2012,VT,0
12/20/2012,VT,0
12/20/2012,VT,0
12/20/2012,VT,0
12/20/2012,VT,0
12/20/2012,VT,0
12/20/2012,VT,1
12/20/2012,VT,1
12/19/2012,VT,1
12/19/2012,VT,0
12/18/2012,VT,1
12/11/2012,VT,1
12/9/2012,VT,1
12/1/2012,VT,1
12/1/2012,VT,1
11/30/2012,VT,0
11/29/2012,VT,0
11/29/2012,VT,0
11/27/2012,VT,0
11/27/2012,VT,1
11/27/2012,VT,1
11/26/2012,VT,1
11/26/2012,VT,0
11/19/2012,VT,1
11/19/2012,VT,1
11/18/2012,VT,1
11/13/2012,VT,1
11/11/2012,VT,0
11/10/2012,VT,1
11/9/2012,VT,0
11/4/2012,VT,1
11/3/2012,VT,0
11/3/2012,VT,1
11/2/2012,VT,0
10/30/2012,VT,0
10/30/2012,VT,1
10/30/2012,VT,1
10/29/2012,VT,0
10/29/2012,VT,0
10/29/2012,VT,0
10/29/2012,VT,0
10/29/2012,VT,0
10/29/2012,VT,0
10/29/2012,VT,1
10/29/2012,VT,1
10/28/2012,VT,1
10/28/2012,VT,1
10/27/2012,VT,1
10/26/2012,VT,1
10/24/2012,VT,1
10/24/2012,VT,1
10/24/2012,VT,0
10/23/2012,VT,0
10/22/2012,VT,1
10/20/2012,VT,1
10/19/2012,VT,1
10/17/2012,VT,1
10/17/2012,VT,1
10/14/2012,VT,1
10/12/2012,VT,1
10/8/2012,VT,1
10/8/2012,VT,1
10/3/2012,VT,1
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/25/2012,VT,0
9/21/2012,VT,1
9/16/2012,VT,0
9/7/2012,VT,0
9/7/2012,VT,1
9/7/2012,VT,0
9/7/2012,VT,1
9/7/2012,VT,1
9/7/2012,VT,1
9/7/2012,VT,1
9/6/2012,VT,1
9/5/2012,VT,1
8/30/2012,VT,1
8/30/2012,VT,1
8/30/2012,VT,1
8/29/2012,VT,1
8/29/2012,VT,1
8/29/2012,VT,1
