Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State,Outage_status
BOS311,2.0504409091866624e+16,"Closed report at 169-199 Mountfort St, Brookline: http://j.mp/hMdXJR. No mbta bus sign. missing longer than the storm.",10:40 AM - 30 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
BOS311,2.0495310216237056e+16,"Closed report at 157-167 Milk St, Boston: http://j.mp/hsLxIC. Crosswalks still not cleared 3 days after storm. this is just one crosswalk...",10:03 AM - 30 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
pyyhkala,1.9449466910150656e+16,Out about Acton appears not even like a 5 year storm. #snowloco (@ Snowpocalypse 2010 - Boston Edition w/ 67 others) http://4sq.com/i6X8Kg,12:48 PM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
thepennyhoarder,1.082663648559018e+18,There's a secret bank paying 100x the normal interest rate and their waiting list just opened up...https://bit.ly/2GZcUNG,10:41 AM - 8 Jan 2019,"Like
    
      
    14
  
  
    
      
      
      Liked
    
      
    14","Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",MA,1
Skeetz8,1.940685536101171e+16,Yoo this storm is #killing niggas. Ain't shit to do,9:58 AM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    3
  
  
    
      
      Retweeted
    
      
    3",MA,0
GittleBos,1.8861488219365376e+16,It can and will. RT @RyanPHealey: This snow storm better not mess with my flight or else I am going to be extremely unhappy. #snOMG,9:51 PM - 25 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
davewiller,1.8509623250128896e+16,Merry Christmas from the Fox25 control room where we are tracking the upcoming storm & Santa's progress   #fox25 http://twitpic.com/3jbyj6,10:33 PM - 24 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
timj0,1.3451589704491008e+16,Not psyched for next power outage 2am-7am. This one is planned. Hopefully every system in our building won't fail this time.,11:34 PM - 10 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
Diamondchest,1.194255776009421e+16,"Just close your eyes let me hypnotize you
I can make your storm feel sky blue
Girl when you lost you know I’ll (cont) http://tl.gd/7bljtt",7:38 PM - 6 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
anthonyperryjr,1.0371820741988352e+16,"“@Boston_Police: N-Star is reporting a large power outage affecting Roxbury Traffic lights out, heavy traffic..” @VeryShortStory weird!!!",11:36 AM - 2 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
jessbidgood,9087151257948160.0,Comcast outage is blowing my mind. Open DNS is like the candle you light during a power outage.,10:32 PM - 28 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
bmenoza,4498748268875777.5,"When I was in college, 'blackout in a can' meant something different.",6:39 AM - 16 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
thomdunn,3195671200923648.0,Ready? Which obscure X-Men character did I accidentally dress identical to today? (hint: it's not Storm),4:21 PM - 12 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
_BostonMA,1926202369511424.0,minor coastal flooding likely… .an early season coastal storm will combine with high astronomical tides to yield areas o… http://j.mp/bFDh1y,4:16 AM - 9 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
amymengel,26745047985.0,"An all-day internet marketing workshop with no tables, no power outlets and no WiFi? #futurem (@ Cambridge Innovation Center w/ 6 others)",7:47 AM - 8 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
rodley,26085571857.0,The fruit flies have apparently fled ahead of the impending storm of the century. (@ Starbucks) http://4sq.com/4FJzdT,9:39 AM - 1 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
markhadfield,2.011943898448691e+16,The calm after the storm  @ Radisson Hotel Boston http://instagr.am/p/ww4g/,9:10 AM - 29 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
huachinango888,1.9568760138502144e+16,"22 hours and a wind/whiteout landing later, travel success! (@ Boston Logan International Airport (BOS) ) http://4sq.com/e7H9rN",8:42 PM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
KDosu,1.9423155793698816e+16,Told work I didn't have my tank in the city so I couldn't make it into work in this snow storm...watching the 3rd ... http://tmi.me/4HhEf,11:03 AM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
PrimeVideo,1.0826984485566464e+18,"The scandal you know, the story you don't. From Executive Producer @JordanPeele comes #LorenaSeries, 2/15.pic.twitter.com/MnqullMsJU",1:00 PM - 8 Jan 2019,"Like
    
      
    4.1K
  
  
    
      
      
      Liked
    
      
    4.1K","Retweet
    
      
    1.3K
  
  
    
      
      Retweeted
    
      
    1.3K",MA,1
PlayfulSecret,1.938513050626048e+16,Worst of the storm has passed Boston. Now we just have to dig out. #2010Bostonblizzard http://twitpic.com/3k7avb http://twitpic.com/3k7ava,8:32 AM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
nealkrause,1.907432832683213e+16,It's crazy out in anticipation of the storm. (@ Whole Foods Market w/ 2 others) http://4sq.com/hxlutQ,11:57 AM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
KG7MAJ,1.907349438176461e+16,"Is there a storm coming???? #DoNotCare #NotFreakingOut #Bosnow (@ Museum of Fine Arts, Boston) http://4sq.com/gYB2mf",11:54 AM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
kel_o_watt,1.800068276211712e+16,I <3 whiteout tape! (@ FedEx Office Print & Ship Center) http://4sq.com/gzRlce,12:51 PM - 23 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
LynnMontagano,1.718033869858816e+16,I'm already sick of the snow 'storm' coverage all over. It's New England people. It snows here. Stop acting like you've never seen it.,6:31 AM - 21 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
timj0,1.2843690003267584e+16,First power outage in years but it's major. Already over 4 hours. Our battery backup safety lights don't last that long.,7:19 AM - 9 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
bmenoza,4498312006729729.0,Four Loko to be banned statewide in Massachusetts starting next Monday. Stock up on 'Blackout in a Can' now!,6:37 AM - 16 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
timdahl,2169094459629568.0,The coming storm.  @ Boston College Thomas P. O'Neill Library http://instagr.am/p/NEoI/,8:22 PM - 9 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
